# Kpath    Energy-Level (in eV)
# Band    1
       0.00000     -14.54063
       0.12809     -14.48597
       0.25617     -14.32291
       0.38426     -14.05442
       0.51234     -13.68641
       0.64043     -13.22973
       0.76851     -12.70500
       0.89660     -12.15541
       1.02469     -11.67941
       1.15277     -11.47259
       1.15277     -11.47259
       1.19806     -11.47149
       1.24334     -11.46843
       1.28863     -11.46420
       1.33391     -11.46011
       1.37920     -11.45802
       1.42448     -11.46031
       1.46977     -11.46983
       1.51505     -11.48976
       1.56034     -11.52334
       1.56034     -11.52334
       1.69619     -11.73168
       1.83205     -12.11092
       1.96791     -12.60277
       2.10376     -13.12111
       2.23962     -13.60012
       2.37547     -13.99961
       2.51133     -14.29680
       2.64718     -14.47921
       2.78304     -14.54063
       2.78304     -14.54063
       2.89396     -14.49966
       3.00489     -14.37766
       3.11582     -14.17775
       3.22674     -13.90620
       3.33767     -13.57470
       3.44859     -13.20504
       3.55952     -12.83830
       3.67044     -12.54767
       3.78137     -12.43261
       3.78137     -12.43261
       3.87194     -12.40942
       3.96251     -12.34094
       4.05308     -12.23040
       4.14365     -12.08391
       4.23422     -11.91171
       4.32479     -11.72999
       4.41536     -11.56272
       4.50593     -11.44129
       4.59650     -11.39632
       4.59650     -11.39632
       4.66054     -11.39870
       4.72459     -11.40549
       4.78863     -11.41584
       4.85267     -11.42841
       4.91672     -11.44165
       4.98076     -11.45395
       5.04480     -11.46390
       5.10884     -11.47036
       5.17289     -11.47259
# Band    2
       5.17289      -8.09234
       5.10884      -8.08533
       5.04480      -8.06482
       4.98076      -8.03245
       4.91672      -7.99104
       4.85267      -7.94467
       4.78863      -7.89862
       4.72459      -7.85907
       4.66054      -7.83217
       4.59650      -7.82261
       4.59650      -7.82261
       4.50593      -7.79087
       4.41536      -7.72365
       4.32479      -7.67961
       4.23422      -7.69409
       4.14365      -7.75686
       4.05308      -7.83775
       3.96251      -7.91093
       3.87194      -7.96031
       3.78137      -7.97762
       3.78137      -7.97762
       3.67044      -7.77621
       3.55952      -7.22822
       3.44859      -6.43799
       3.33767      -5.48792
       3.22674      -4.43457
       3.11582      -3.32639
       3.00489      -2.22661
       2.89396      -1.26854
       2.78304      -0.82009
       2.78304      -0.82009
       2.64718      -1.41086
       2.51133      -2.54917
       2.37547      -3.74409
       2.23962      -4.85719
       2.10376      -5.83291
       1.96791      -6.63486
       1.83205      -7.23285
       1.69619      -7.61801
       1.56034      -7.83824
       1.56034      -7.83824
       1.51505      -7.88989
       1.46977      -7.93488
       1.42448      -7.97439
       1.37920      -8.00878
       1.33391      -8.03787
       1.28863      -8.06123
       1.24334      -8.07836
       1.19806      -8.08882
       1.15277      -8.09234
       1.15277      -8.09234
       1.02469      -7.81500
       0.89660      -7.12954
       0.76851      -6.23748
       0.64043      -5.24586
       0.51234      -4.20790
       0.38426      -3.15793
       0.25617      -2.13627
       0.12809      -1.24459
       0.00000      -0.82009
# Band    3
       0.00000      -0.82009
       0.12809      -0.97903
       0.25617      -1.37615
       0.38426      -1.87258
       0.51234      -2.37100
       0.64043      -2.81765
       0.76851      -3.18362
       0.89660      -3.45312
       1.02469      -3.61760
       1.15277      -3.67284
       1.15277      -3.67284
       1.19806      -3.71006
       1.24334      -3.81557
       1.28863      -3.97367
       1.33391      -4.16461
       1.37920      -4.36914
       1.42448      -4.57059
       1.46977      -4.75539
       1.51505      -4.91293
       1.56034      -5.03545
       1.56034      -5.03545
       1.69619      -5.15708
       1.83205      -4.92827
       1.96791      -4.43892
       2.10376      -3.77670
       2.23962      -3.01314
       2.37547      -2.22435
       2.51133      -1.51178
       2.64718      -1.00463
       2.78304      -0.82009
       2.78304      -0.82009
       2.89396      -0.87171
       3.00489      -1.01068
       3.11582      -1.20102
       3.22674      -1.40624
       3.33767      -1.59891
       3.44859      -1.76123
