     #Energy  up_1&5_all  dw_1&5_all    up_3_all    dw_3_all
   -10.54087     0.00000     0.00000     0.00000     0.00000
   -10.42787         NaN     0.00000         NaN     0.00000
   -10.31487     0.00000     0.00000     0.00000     0.00000
   -10.20187     0.00000     0.00000     0.00000     0.00000
   -10.08887     0.00000     0.00000     0.00000     0.00000
    -9.97587     0.00000     0.00000     0.00000     0.00000
    -9.86387     0.00000     0.00000     0.00000     0.00000
    -9.75087     0.00000     0.00000     0.00000     0.00000
    -9.63787     0.00000     0.00000     0.00000     0.00000
    -9.52487     0.00000     0.00000     0.00000     0.00000
    -9.41187     0.00000     0.00000     0.00000     0.00000
    -9.29887     0.00000     0.00000     0.00000     0.00000
    -9.18587     0.00000     0.00000     0.00000     0.00000
    -9.07287     0.00000     0.00000     0.00000     0.00000
    -8.95987     0.00000     0.00000     0.00000     0.00000
    -8.84787     0.00000     0.00000     0.00000     0.00000
    -8.73487     0.00000     0.00000     0.00000     0.00000
    -8.62187     0.00000     0.00000     0.00000     0.00000
    -8.50887     0.00000    -0.00182     0.00000    -0.00403
    -8.39587     0.00581    -0.00823     0.01279    -0.01825
    -8.28287     0.01231    -0.01465     0.02708    -0.03249
    -8.16987     0.01780    -0.01687     0.03920    -0.03747
    -8.05687     0.01579    -0.01486     0.03481    -0.03305
    -7.94387     0.01378    -0.01285     0.03042    -0.02861
    -7.83187     0.01296    -0.01305     0.02863    -0.02911
    -7.71887     0.01382    -0.01388     0.03055    -0.03098
    -7.60587     0.01468    -0.01471     0.03247    -0.03285
    -7.49287     0.01554    -0.01555     0.03439    -0.03473
    -7.37987     0.01641    -0.01638     0.03630    -0.03660
    -7.26687     0.02560    -0.03078     0.03862    -0.03853
    -7.15387     0.04425    -0.04891     0.03989    -0.03954
    -7.04087     0.06288    -0.06366     0.04119    -0.04026
    -6.92887     0.06139    -0.05866     0.04221    -0.04102
    -6.81587     0.05632    -0.05342     0.04267    -0.04125
    -6.70287     0.05378    -0.05273     0.04348    -0.04212
    -6.58987     0.05682    -0.05554     0.04508    -0.04348
    -6.47687     0.05986    -0.05837     0.04671    -0.04484
    -6.36387     0.06289    -0.06120     0.04833    -0.04621
    -6.25087     0.06592    -0.06401     0.04997    -0.04761
    -6.13787     0.06670    -0.06380     0.05256    -0.04956
    -6.02487     0.06700    -0.06317     0.05570    -0.05175
    -5.91287     0.06885    -0.06399     0.06043    -0.05442
    -5.79987     0.07137    -0.06565     0.06521    -0.05692
    -5.68687     0.07374    -0.06729     0.06941    -0.05933
    -5.57387     0.09430    -0.08572     0.08531    -0.07193
    -5.46087     0.12653    -0.11540     0.10907    -0.09146
    -5.34787     0.14493    -0.13567     0.12409    -0.10543
    -5.23487     0.14320    -0.13094     0.12652    -0.10407
    -5.12187     0.15290    -0.12771     0.14528    -0.10416
    -5.00887     0.16861    -0.13896     0.16676    -0.11939
    -4.89687     0.17888    -0.14880     0.18521    -0.13171
    -4.78387     0.21537    -0.15606     0.28889    -0.14218
    -4.67087     0.27003    -0.16418     0.36751    -0.15360
    -4.55787     0.26274    -0.19651     0.32416    -0.23636
    -4.44487     0.30094    -0.20139     0.33888    -0.23653
    -4.33187     0.60039    -0.23358     0.58658    -0.26482
    -4.21887     0.49080    -0.27739     0.42054    -0.28024
    -4.10587     0.46113    -0.33889     0.44760    -0.30197
    -3.99287     0.43843    -0.64335     0.32610    -0.86882
    -3.88087     1.35150    -0.41318     1.12706    -0.39906
    -3.76787     0.93819    -0.37123     0.92452    -0.39649
    -3.65487     0.73839    -0.25502     0.88597    -0.18014
    -3.54187     1.51160    -0.30714     1.08768    -0.20552
    -3.42887     1.10687    -1.29854     0.60859    -0.83305
    -3.31587     1.15159    -0.75038     0.59082    -0.75878
    -3.20287     1.00164    -0.81335     0.42642    -0.92132
    -3.08987     1.48795    -0.74363     0.79353    -0.65155
    -2.97687     1.25285    -1.29597     0.83916    -0.78148
    -2.86487     2.07580    -0.59809     1.19749    -0.44404
    -2.75187     2.32423    -1.04381     1.71793    -0.61218
    -2.63887     2.41535    -0.99395     1.19368    -0.42555
    -2.52587     1.28509    -1.02250     1.15973    -0.45486
    -2.41287     1.71917    -1.44939     1.15756    -0.99152
    -2.29987     3.18542    -2.12148     2.25544    -1.27574
    -2.18687     3.35347    -1.81095     2.00114    -1.16456
    -2.07387     2.53806    -1.37430     0.82879    -1.06075
    -1.96087     3.44887    -1.25158     1.01199    -1.27480
    -1.84887     3.86837    -1.05224     0.85864    -0.89313
    -1.73587     3.46468    -1.44280     1.01885    -1.41557
    -1.62287     3.13841    -3.52294     1.19351    -2.11463
    -1.50987     2.91652    -3.94699     0.91345    -2.07759
    -1.39687     2.66849    -2.26511     1.06485    -0.87731
    -1.28387     3.91112    -2.56445     2.02786    -0.86913
