     #Energy         O_s         O_p         C_s         C_p      Ni_dxy      Ni_dz2
   -27.10266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.92966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.75566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.58266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.40966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.23566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -26.06266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.88966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.71566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.54266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.36966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.19566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -25.02266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.84966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -24.67566     0.27960     0.04175     0.07885     0.04890     0.00000     0.00008
   -24.50266     0.39400     0.05971     0.10980     0.06999     0.00000     0.00010
   -24.32966     0.47930     0.07324     0.13260     0.08590     0.00000     0.00012
   -24.15566     0.50820     0.07889     0.13820     0.09275     0.00000     0.00011
   -23.98266     0.57540     0.08986     0.15530     0.10577     0.00000     0.00012
   -23.80966     0.72540     0.11459     0.19260     0.13545     0.00000     0.00013
   -23.63566     0.89070     0.14159     0.23410     0.16784     0.00000     0.00015
   -23.46266     1.57500     0.25229     0.40770     0.30044     0.00000     0.00023
   -23.28966     1.70100     0.27393     0.43590     0.32731     0.00000     0.00022
   -23.11566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.94266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.76966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.59566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.42266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.24966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -22.07566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.90266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.72966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.55566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.38266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.20966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -21.03566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.86266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.68966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.51566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.34266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -20.16966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.99566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.82266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.64966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.47566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.30266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -19.12966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.95566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.78266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.60966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.43566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.26266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.08966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.91566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.74266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.56966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.39566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.22266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.04966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.87566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.70266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.52966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.35566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.18266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.00966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.83566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.66266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.48966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.31566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -15.14266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.96966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.79566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.62266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.44966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.27566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.10266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.92966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.75566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.58266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.40966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.23566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.06266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.88966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.71566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.54266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.36966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.19566     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.02266     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.84966     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.67566     0.04509     0.01963     0.09620     0.02109     0.00001     0.01200
   -11.50266     0.03820     0.01754     0.08079     0.01912     0.00004     0.01117
   -11.32966     0.04307     0.02026     0.09075     0.02218     0.00007     0.01308
   -11.15566     0.04796     0.02303     0.10070     0.02532     0.00010     0.01503
   -10.98266     0.04767     0.02471     0.09897     0.02716     0.00020     0.01618
   -10.80966     0.04822     0.02689     0.09909     0.02946     0.00029     0.01743
   -10.63566     0.05108     0.02993     0.10430     0.03259     0.00037     0.01903
