# Kpath    Energy-Level (in eV)
# Band    1
  0.000       -19.419
  0.042       -19.414
  0.084       -19.400
  0.126       -19.376
  0.168       -19.342
  0.210       -19.299
  0.252       -19.246
  0.294       -19.183
  0.336       -19.111
  0.378       -19.030
  0.420       -18.938
  0.462       -18.838
  0.504       -18.728
  0.546       -18.609
  0.588       -18.480
  0.630       -18.342
  0.672       -18.194
  0.714       -18.038
  0.756       -17.872
  0.798       -17.698
  0.840       -17.514
  0.882       -17.322
  0.924       -17.121
  0.966       -16.911
  1.008       -16.693
  1.050       -16.467
  1.092       -16.233
  1.134       -15.992
  1.175       -15.744
  1.217       -15.490
  1.259       -15.231
  1.301       -14.971
  1.343       -14.714
  1.385       -14.472
  1.427       -14.277
  1.469       -14.194
  1.469       -14.194
  1.512       -14.189
  1.554       -14.177
  1.597       -14.156
  1.639       -14.126
  1.681       -14.088
  1.724       -14.042
  1.766       -13.987
  1.809       -13.924
  1.851       -13.852
  1.894       -13.772
  1.936       -13.684
  1.978       -13.587
  2.021       -13.482
  2.063       -13.368
  2.106       -13.246
  2.148       -13.116
  2.190       -12.978
  2.233       -12.831
  2.275       -12.676
  2.318       -12.513
  2.318       -12.513
  2.359       -12.700
  2.400       -12.925
  2.442       -13.175
  2.483       -13.439
  2.525       -13.712
  2.566       -13.988
  2.607       -14.265
  2.649       -14.540
  2.690       -14.811
  2.732       -15.078
  2.773       -15.340
  2.814       -15.596
  2.856       -15.845
  2.897       -16.088
  2.938       -16.323
  2.980       -16.550
  3.021       -16.770
  3.063       -16.982
  3.104       -17.186
  3.145       -17.381
  3.187       -17.568
  3.228       -17.746
  3.270       -17.916
  3.311       -18.077
  3.352       -18.229
  3.394       -18.372
  3.435       -18.506
  3.476       -18.631
  3.518       -18.747
  3.559       -18.854
  3.601       -18.952
  3.642       -19.041
  3.683       -19.120
  3.725       -19.190
  3.766       -19.251
  3.807       -19.302
  3.849       -19.344
  3.890       -19.377
  3.932       -19.400
  3.973       -19.414
  4.014       -19.419
# Band    2
  4.014        -7.520
  3.973        -7.515
  3.932        -7.498
  3.890        -7.470
  3.849        -7.431
  3.807        -7.381
  3.766        -7.320
  3.725        -7.248
  3.683        -7.165
  3.642        -7.070
  3.601        -6.966
  3.559        -6.850
  3.518        -6.724
  3.476        -6.587
  3.435        -6.439
  3.394        -6.282
  3.352        -6.335
  3.311        -6.638
  3.270        -6.940
  3.228        -7.240
  3.187        -7.538
  3.145        -7.833
  3.104        -8.125
  3.063        -8.412
  3.021        -8.694
  2.980        -8.971
  2.938        -9.242
  2.897        -9.508
  2.856        -9.768
  2.814       -10.021
  2.773       -10.268
  2.732       -10.508
  2.690       -10.741
  2.649       -10.967
  2.607       -11.187
  2.566       -11.399
  2.525       -11.603
  2.483       -11.800
  2.442       -11.990
  2.400       -12.172
  2.359       -12.347
  2.318       -12.513
  2.318       -12.513
  2.275       -12.376
  2.233       -12.300
  2.190       -12.282
  2.148       -12.307
  2.106       -12.360
  2.063       -12.430
  2.021       -12.507
  1.978       -12.587
  1.936       -12.666
  1.894       -12.742
  1.851       -12.813
  1.809       -12.879
  1.766       -12.938
  1.724       -12.990
  1.681       -13.035
  1.639       -13.072
  1.597       -13.101
  1.554       -13.121
  1.512       -13.134
  1.469       -13.138
  1.469       -13.138
  1.427       -13.048
  1.385       -12.830
  1.343       -12.553
  1.301       -12.246
  1.259       -11.922
  1.217       -11.586
  1.175       -11.240
