#K-Path     Energy-Level
#Band-index    1
  0.000      -17.4168
  0.031      -17.4170
  0.062      -17.4176
  0.093      -17.4186
  0.125      -17.4200
  0.156      -17.4218
  0.187      -17.4239
  0.218      -17.4264
  0.249      -17.4292
  0.280      -17.4322
  0.312      -17.4355
  0.343      -17.4390
  0.374      -17.4426
  0.405      -17.4464
  0.436      -17.4502
  0.467      -17.4541
  0.498      -17.4581
  0.530      -17.4621
  0.561      -17.4660
  0.592      -17.4699
  0.623      -17.4738
  0.654      -17.4775
  0.685      -17.4812
  0.717      -17.4846
  0.748      -17.4880
  0.779      -17.4911
  0.810      -17.4940
  0.841      -17.4967
  0.872      -17.4993
  0.904      -17.5016
  0.935      -17.5037
  0.966      -17.5055
  0.997      -17.5070
  1.028      -17.5083
  1.059      -17.5093
  1.090      -17.5100
  1.122      -17.5104
  1.153      -17.5106
  1.153      -17.5106
  1.187      -17.5104
  1.221      -17.5100
  1.255      -17.5093
  1.289      -17.5084
  1.323      -17.5073
  1.357      -17.5059
  1.391      -17.5044
  1.424      -17.5027
  1.458      -17.5008
  1.492      -17.4989
  1.526      -17.4970
  1.560      -17.4950
  1.560      -17.4950
  1.592      -17.4931
  1.623      -17.4912
  1.654      -17.4894
  1.686      -17.4876
  1.717      -17.4858
  1.748      -17.4841
  1.780      -17.4824
  1.811      -17.4807
  1.843      -17.4790
  1.874      -17.4772
  1.905      -17.4755
  1.937      -17.4737
  1.968      -17.4718
  1.999      -17.4698
  2.031      -17.4678
  2.062      -17.4656
  2.093      -17.4634
  2.125      -17.4610
  2.156      -17.4586
  2.187      -17.4561
  2.219      -17.4534
  2.250      -17.4507
  2.281      -17.4479
  2.313      -17.4451
  2.344      -17.4423
  2.375      -17.4395
  2.407      -17.4367
  2.438      -17.4340
  2.470      -17.4314
  2.501      -17.4289
  2.532      -17.4265
  2.564      -17.4244
  2.595      -17.4224
  2.626      -17.4207
  2.658      -17.4193
  2.689      -17.4182
  2.720      -17.4174
  2.752      -17.4169
  2.783      -17.4168
  2.783      -17.4168
  2.814      -17.4168
  2.845      -17.4173
  2.877      -17.4180
  2.908      -17.4190
  2.939      -17.4203
  2.970      -17.4219
  3.001      -17.4237
  3.033      -17.4257
  3.064      -17.4278
  3.095      -17.4302
  3.126      -17.4328
  3.157      -17.4354
  3.189      -17.4381
  3.220      -17.4409
  3.251      -17.4438
  3.282      -17.4466
  3.313      -17.4495
  3.345      -17.4522
  3.376      -17.4549
  3.407      -17.4576
  3.438      -17.4601
  3.469      -17.4625
  3.501      -17.4647
  3.532      -17.4667
  3.563      -17.4686
  3.594      -17.4702
  3.625      -17.4716
  3.657      -17.4728
  3.688      -17.4737
  3.719      -17.4744
  3.750      -17.4748
  3.781      -17.4749
  3.781      -17.4749
  3.813      -17.4749
  3.844      -17.4750
  3.875      -17.4752
  3.907      -17.4754
  3.938      -17.4758
  3.969      -17.4762
  4.001      -17.4767
  4.032      -17.4773
  4.064      -17.4780
  4.095      -17.4788
  4.126      -17.4797
  4.158      -17.4807
  4.189      -17.4817
  4.220      -17.4828
  4.252      -17.4839
  4.283      -17.4849
  4.314      -17.4860
  4.346      -17.4870
  4.377      -17.4880
  4.408      -17.4888
  4.440      -17.4896
  4.471      -17.4902
  4.502      -17.4907
  4.534      -17.4911
  4.565      -17.4913
  4.597      -17.4915
  4.597      -17.4915
  4.629      -17.4916
  4.661      -17.4921
  4.693      -17.4930
  4.725      -17.4941
  4.757      -17.4954
  4.789      -17.4969
  4.821      -17.4986
  4.853      -17.5002
  4.885      -17.5019
  4.917      -17.5035
  4.949      -17.5050
  4.981      -17.5064
  5.013      -17.5076
